Name,Gene_ID,GenomeBuild,Chr,Accession,overallMeanByCpGacross50data,CoefficientHannum
cg05538387,25911,36,10,NM_015448.1,0.038462399,NA
cg05538432,716,36,12,NM_001734.2,0.580807034,NA
cg05546038,8996,36,16,NM_003946.3,0.808200831,NA
cg05546044,5594,36,22,NM_002745.4,0.410729299,NA
cg05546383,54726,36,4,NM_017493.4,0.901621012,NA
cg05547500,84203,36,18,NM_032243.4,0.868230295,NA
cg05547993,55697,36,16,NM_018052.3,0.040886109,NA
cg05552534,23456,36,1,NM_012089.1,0.048904751,NA
cg05554718,3007,36,6,NM_005320.2,0.446420435,NA
cg05554936,9545,36,19,NM_004283.2,0.023164058,NA
cg05556020,5972,36,1,NM_000537.2,0.799299026,NA
cg05556202,116211,36,3,NM_138461.1,0.78365113,NA
cg05556210,463,36,16,NM_006885.2,0.064863336,NA
cg05556717,10344,36,7,NM_006072.4,0.509929831,NA
cg05558390,2778,36,20,NM_000516.3,0.411129588,NA
cg05559445,1028,36,11,NT_009237.17,0.35756939,NA
cg05562327,132864,36,4,NM_182485.1,0.09117562,NA
cg05562817,125875,36,19,NM_152353.1,0.055017112,NA
cg05564251,11262,36,2,NM_007237.3,0.798118115,NA
cg05564266,387119,36,6,NM_206921.1,0.64982542,NA
cg05564657,13,36,3,NM_001086.2,0.894594384,NA
cg05565537,11226,36,12,NM_007210.2,0.868961134,NA
cg05566397,55904,36,7,NM_018682.2,0.047065904,NA
cg05566965,637,36,22,NM_001196.2,0.045671923,NA
cg05568762,254251,36,4,NM_153686.4,0.027851844,NA
cg05569220,388428,36,17,NM_207389.1,0.532817177,NA
cg05570980,79669,36,3,NM_024616.1,0.191429784,NA
cg05573563,8481,36,X,NM_003611.1,0.61198002,NA
cg05575043,84124,36,7,NM_032164.2,0.048053436,NA
cg05576974,51377,36,1,NM_015984.1,0.030789551,NA
cg05577173,167153,36,5,NM_173797.2,0.079684699,NA
cg05585544,114900,36,11,NM_031909.1,0.783140892,NA
cg05587158,407,36,X,NM_004312.1,0.747067009,NA
cg05587474,4343,36,1,NM_020963.1,0.056320148,NA
cg05587736,9688,36,16,NM_014669.2,0.786670535,NA
cg05588972,79363,36,1,NM_030907.2,0.050235659,NA
cg05589246,3228,36,12,NM_173860.1,0.110854877,NA
cg05590257,201164,36,17,NM_178836.2,0.127667123,NA
cg05590294,969,36,12,NM_001781.1,0.468344384,NA
cg05590567,55798,36,7,NM_018396.1,0.048345842,NA
cg05590982,26471,36,16,NM_012385.1,0.480463558,NA
cg05592398,3984,36,7,NM_016735.1,0.088663299,NA
cg05592434,6207,36,11,NM_001017.2,0.196854055,NA
cg05592527,54470,36,X,NM_001009584.1,0.133246083,NA
cg05593300,5396,36,1,NM_022716.2,0.146264559,NA
cg05593325,79695,36,9,NM_024642.2,0.218219766,NA
cg05593479,200765,36,2,NM_145702.1,0.082440382,NA
cg05593780,84844,36,22,NM_032758.3,0.040491915,NA
cg05594230,27160,36,X,NR_002226.1,0.246731597,NA
cg05595345,91947,36,15,NM_183376.1,0.049853095,NA
cg05596294,9890,36,1,NM_014839.3,0.135239603,NA
cg05596756,91523,36,12,NM_138371.1,0.532825968,NA
cg05598246,4340,36,6,NM_206809.2,0.707972572,NA
cg05600174,54981,36,9,NM_017881.1,0.135699371,NA
cg05600717,79758,36,13,NM_024705.1,0.14621876,NA
cg05602212,9765,36,5,NM_014733.2,0.065215303,NA
cg05602615,84193,36,14,NM_032233.2,0.027986889,NA
cg05603623,10469,36,19,NM_006351.2,0.054812088,NA
cg05604720,8767,36,8,NM_003821.4,0.05480158,NA
cg05606799,3814,36,1,NM_002256.2,0.706397015,NA
cg05607127,170850,36,2,NM_133329.4,0.060951889,NA
cg05607401,9535,36,19,NM_004877.1,0.401025121,NA
cg05607472,1452,36,5,NM_001892.4,0.035572993,NA
cg05608188,64418,36,7,NM_022484.3,0.045919461,NA
cg05610148,127281,36,1,NM_152371.1,0.04805632,NA
cg05610379,54780,36,10,NM_017615.1,0.02498675,NA
cg05612904,51611,36,1,NM_015958.1,0.037252457,NA
cg05615150,10777,36,3,NM_198399.1,0.687120003,NA
cg05615487,49,36,22,NM_001097.1,0.786695326,NA
cg05619712,1420,36,2,NM_020989.2,0.730242678,NA
cg05621401,5979,36,10,NM_020975.3,0.062102774,NA
cg05621759,51351,36,7,NM_015852.1,0.869430851,NA
cg05624196,347,36,3,NM_001647.2,0.594436545,NA
cg05624932,83690,36,8,NM_031461.3,0.087217412,NA
cg05626013,347731,36,10,NM_178011.2,0.22859394,NA
cg05627103,84960,36,9,NM_032874.2,0.127237523,NA
cg05628549,112464,36,11,NM_145040.2,0.149612295,NA
cg05633152,6554,36,14,NM_003049.1,0.891531835,NA
cg05636175,8794,36,8,NM_003841.2,0.159209467,NA
cg05637351,1005,36,18,NM_033646.1,0.061907505,NA
cg05637892,23256,36,14,NM_016106.2,0.052394102,NA
cg05641882,2921,36,4,NM_002090.2,0.042479077,NA
cg05641961,10519,36,15,NM_006384.2,0.035854847,NA
cg05642698,11231,36,6,NM_007214.3,0.043803056,NA
cg05646865,200172,36,1,NM_144990.2,0.907952108,NA
cg05647526,813,36,7,NM_001219.2,0.050059415,NA
cg05647859,8825,36,12,NM_004664.2,0.114023633,NA
cg05649009,1134,36,2,NM_000079.1,0.744340508,NA
cg05650171,5202,36,1,NM_012394.2,0.521095962,NA
cg05650565,23190,36,2,NM_014607.2,0.027653286,NA
cg05650764,55291,36,11,NM_018312.3,0.043072847,NA
cg05654163,29986,36,14,NM_014579.1,0.657528204,NA
cg05654164,148423,36,1,NM_198077.1,0.458015769,NA
cg05655041,140456,36,X,NM_080873.1,0.773589655,NA
cg05655556,5708,36,3,NM_002808.3,0.039779348,NA
cg05656180,55539,36,11,NT_009237.17,0.237938534,NA
cg05656364,8673,36,2,NM_003761.2,0.210680417,NA
cg05657090,10535,36,19,NM_006397.2,0.829817238,NA
cg05657520,26254,36,1,NM_014359.3,0.875076833,NA
cg05658858,10844,36,10,NM_006659.1,0.029003719,NA
cg05659526,2207,36,1,NM_004106.1,0.89161361,NA
cg05659947,725,36,1,NM_000716.3,0.695360367,NA
cg05660795,3484,36,7,NM_000596.2,0.151639037,NA
cg05661333,2550,36,6,NM_001470.1,0.044875747,NA
cg05661838,4342,36,8,NM_005372.1,0.116339277,NA
cg05662500,23171,36,3,NM_015141.2,0.065078027,NA
cg05663262,81888,36,1,NM_031207.2,0.734295294,NA
cg05664072,8864,36,2,NM_003894.3,0.103834528,NA
cg05666713,91156,36,1,NM_178275.3,0.797664417,NA
cg05668720,51175,36,6,NM_016262.3,0.036176613,NA
cg05668853,83871,36,17,NM_031934.3,0.488564801,NA
cg05669100,83640,36,15,NM_031452.2,0.071274821,NA
cg05669210,56996,36,7,NM_020246.2,0.087578747,NA
cg05669980,405,36,1,NM_178426.1,0.029560331,NA
cg05670275,130888,36,2,NM_174899.3,0.034494637,NA
cg05670348,9215,36,22,NM_004737.3,0.060890717,NA
cg05670408,57134,36,1,NM_020379.1,0.055205339,NA
cg05670596,9034,36,3,NM_003965.4,0.38895088,NA
cg05671018,256586,36,15,NM_153374.1,0.786647893,NA
cg05671350,283208,36,11,NM_182904.3,0.197225673,NA
cg05672265,6574,36,2,NM_005415.3,0.041164183,NA
cg05673087,54960,36,X,NM_017856.1,0.049843703,NA
cg05674036,8392,36,17,NM_012373.1,0.803436091,NA
cg05674199,191,36,20,NM_000687.1,0.198809077,NA
cg05674444,149992,36,21,NM_153773.1,0.299847653,NA
cg05674944,7780,36,1,NM_001004434.1,0.083984129,NA
cg05675373,3749,36,1,NM_004978.2,0.102128402,NA
cg05676042,51400,36,11,NM_016147.1,0.051527854,NA
cg05677402,9246,36,11,NM_004223.3,0.018768741,NA
cg05678175,10155,36,19,NM_005762.2,0.038502095,NA
cg05678938,8975,36,3,NM_003940.1,0.032300382,NA
cg05679521,5606,36,17,NM_002756.2,0.063922622,NA
cg05679613,56955,36,4,NM_020203.1,0.818551594,NA
cg05680424,669,36,7,NM_199186.1,0.06122899,NA
cg05681757,121512,36,12,NM_139241.1,0.333077192,NA
cg05684015,1810,36,1,NM_001938.2,0.040268831,NA
cg05684195,63924,36,3,NM_022094.2,0.757441405,NA
cg05684891,153090,36,9,NT_008470.18,0.047387376,NA
cg05688084,23065,36,1,NM_015047.1,0.053485924,NA
cg05689121,27327,36,16,NM_020847.1,0.046019935,NA
cg05695927,79029,36,15,NM_024063.1,0.047416079,NA
cg05696092,51070,36,19,NM_015953.3,0.415875572,NA
cg05697231,5371,36,15,NM_033238.2,0.074993397,NA
cg05697249,91894,36,11,NM_080659.1,0.420364181,NA
cg05697976,55711,36,12,NM_018099.3,0.562882833,NA
cg05698069,64236,36,8,NM_198042.2,0.136363555,NA
cg05698090,64781,36,22,NM_022766.4,0.122940192,NA
cg05699592,5576,36,3,NM_004157.2,0.051169487,NA
cg05699806,416,36,X,NM_004042.3,0.259168665,NA
cg05700681,6367,36,16,NM_002990.3,0.82686119,NA
cg05701114,10301,36,13,XR_001515.1,0.168273042,NA
cg05702633,84919,36,1,NM_032833.2,0.046595871,NA
cg05702737,80326,36,2,NM_025216.2,0.071634137,NA
cg05702774,56670,36,3,NM_033050.2,0.591101606,NA
cg05702952,5163,36,2,NM_002610.3,0.030699842,NA
cg05705366,112574,36,5,NM_052870.1,0.052015287,NA
cg05705583,819,36,5,NM_001745.2,0.07891377,NA
cg05706061,1318,36,9,NM_001860.1,0.29171369,NA
cg05709923,25813,36,22,NM_015380.3,0.057721255,NA
cg05711886,55384,36,14,XR_000943.1,0.584620069,NA
cg05714219,79623,36,2,NM_024572.2,0.044886871,NA
cg05714479,26524,36,13,NM_014572.1,0.04168738,NA
cg05714729,2589,36,18,NM_020474.2,0.587142657,NA
cg05715287,51362,36,6,NM_015891.2,0.066937792,NA
cg05715649,127833,36,1,NM_177402.3,0.562216655,NA
cg05717160,84833,36,10,NM_032747.1,0.046767345,NA
cg05718253,55908,36,19,NM_018687.3,0.852613685,NA
cg05718625,51234,36,15,NM_016454.2,0.063012212,NA
cg05719902,136306,36,7,NM_174959.1,0.459980059,NA
cg05720937,10120,36,2,NM_005735.2,0.034240183,NA
cg05721199,344658,36,3,NM_182610.1,0.742761551,NA
cg05722552,22871,36,3,NM_014932.2,0.061533793,NA
cg05722906,66002,36,19,NM_023944.1,0.225845048,NA
cg05722918,160728,36,12,NM_145913.2,0.058671795,NA
cg05723825,150483,36,2,NM_144705.2,0.554176308,NA
cg05724065,5260,36,7,NM_006213.2,0.412083249,NA
cg05725452,23753,36,22,NM_022044.2,0.032132874,NA
cg05726109,2812,36,22,NM_000407.3,0.728987284,NA
cg05727959,55010,36,12,NM_017915.1,0.037558399,NA
cg05728656,57827,36,6,NM_021184.3,0.039859703,NA
cg05729093,3566,36,16,NM_000418.2,0.060991593,NA
cg05730092,57596,36,14,NM_020836.2,0.748216116,NA
cg05731779,134288,36,5,NM_153217.1,0.843805414,NA
cg05732130,64785,36,16,NM_022770.2,0.046628623,NA
cg05732530,1844,36,2,NM_004418.2,0.03157559,NA
cg05739825,9538,36,11,NM_004879.3,0.034751441,NA
cg05740244,3948,36,11,NM_017448.1,0.624851217,NA
cg05741384,4953,36,2,NM_002539.1,0.043893425,NA
cg05742308,10371,36,7,NM_006080.1,0.073186738,NA
cg05743054,4291,36,3,NM_022443.2,0.033153015,NA
cg05744229,4625,36,14,NM_000257.1,0.696559397,NA
cg05745457,84076,36,4,NM_032136.3,0.870842852,NA
cg05745851,84660,36,12,NM_032573.3,0.034379854,NA
cg05747424,112840,36,14,NM_080666.2,0.047300413,NA
cg05749161,10156,36,7,NM_006989.3,0.025520888,NA
cg05749577,9493,36,15,NM_004856.4,0.023407797,NA
cg05749792,347516,36,X,NM_198512.1,0.68954458,NA
cg05750321,84952,36,15,NM_032866.3,0.927103182,NA
cg05751148,5790,36,11,NM_005608.2,0.541581152,NA
cg05751159,95681,36,7,NM_018718.1,0.037459209,NA
cg05751979,6921,36,8,NM_005648.2,0.04611386,NA
cg05754589,23468,36,12,NM_012117.1,0.066491868,NA
cg05754631,2549,36,4,NM_207123.1,0.069364516,NA
cg05755354,55691,36,10,NM_018027.2,0.735506683,NA
cg05755779,10584,36,8,NM_006438.2,0.811574893,NA
cg05755837,9512,36,7,NM_004279.1,0.080634237,NA
cg05759269,1026,36,6,NM_078467.1,0.056914123,NA
cg05761032,9236,36,15,NM_020739.2,0.035413368,NA
cg05761971,151393,36,2,NM_144713.1,0.693849741,NA
cg05764061,5495,36,2,NM_002706.4,0.124348703,NA
cg05764376,56906,36,15,NM_020147.2,0.055018109,NA
cg05764607,57117,36,4,NM_020395.2,0.034169351,NA
cg05766425,51747,36,17,NM_016424.3,0.071547038,NA
cg05766474,6360,36,17,NM_004590.2,0.876297539,NA
cg05767404,148823,36,1,NM_145278.1,0.557146844,NA
cg05768141,3766,36,1,NM_002241.2,0.084685605,NA
cg05769161,283358,36,12,NM_173593.3,0.067353307,NA
cg05769169,112399,36,14,NM_022073.2,0.05203462,NA
cg05772663,3358,36,X,NM_000868.1,0.14572845,NA
cg05773628,10787,36,2,NM_013436.3,0.118938486,NA
cg05774801,6423,36,4,NT_016354.18,0.121843874,NA
cg05776763,1743,36,14,NM_001933.3,0.069136976,NA
cg05777319,84100,36,3,NM_177976.1,0.044946967,NA
cg05778847,94274,36,19,NM_033256.1,0.195906309,NA
cg05779068,26692,36,6,NM_030903.2,0.731727011,NA
cg05779272,2683,36,9,NM_001497.2,0.457895633,NA
cg05780311,6777,36,17,NM_012448.3,0.027138892,NA
cg05780616,6636,36,12,NM_003095.1,0.035635224,NA
cg05781767,50512,36,3,NM_015720.1,0.563867364,NA
cg05782292,6343,36,11,NM_021920.2,0.86708033,NA
cg05782445,3777,36,2,NM_002246.1,0.30337327,NA
cg05782975,27018,36,X,NM_206915.1,0.286652895,NA
cg05784862,NA,NA,NA,NA,NA,NA
cg05786601,367,36,X,NM_000044.2,0.334412233,NA
cg05786809,1152,36,14,NM_001823.3,0.055617744,NA
cg05788437,84248,36,3,NM_001011537.1,0.03520697,NA
cg05788526,8898,36,11,NM_016156.3,0.09256235,NA
cg05788638,51156,36,14,NM_016186.1,0.836553101,NA
cg05790038,162514,36,17,NM_145068.2,0.676103344,NA
cg05790999,64342,36,2,NM_022460.3,0.022619068,NA
cg05793077,2934,36,9,NM_000177.3,0.044686943,NA
cg05795157,10401,36,1,NM_006099.2,0.055140395,NA
cg05795313,121274,36,12,NM_152320.1,0.102572505,NA
cg05797656,11325,36,17,NM_007372.2,0.07644827,NA
cg05798712,2173,36,6,NM_001446.3,0.614164648,NA
cg05798972,5469,36,17,NM_004774.2,0.073146959,NA
cg05799317,168090,36,6,NM_144980.1,0.857079697,NA
cg05800321,8581,36,8,NM_003695.2,0.810499336,NA
cg05801573,139065,36,X,NM_173078.2,0.161370178,NA
cg05801648,6850,36,9,NT_008470.18,0.088693992,NA
cg05806233,2770,36,7,NM_002069.4,0.047404,NA
cg05807444,51160,36,8,NM_016208.2,0.542857096,NA
cg05807768,54879,36,1,NM_198327.1,0.047265632,NA
cg05807991,133022,36,4,NM_152402.1,0.097566276,NA
cg05810550,245909,36,8,NM_152251.2,0.759831982,NA
cg05812599,81570,36,11,NM_030813.3,0.810121722,NA
cg05813084,1944,36,1,NM_004952.3,0.046878263,NA
cg05813234,27330,36,X,NM_014496.1,0.365570102,NA
cg05815893,55028,36,17,NM_017941.3,0.069809453,NA
cg05815906,83452,36,4,NM_031296.1,0.076617996,NA
cg05817232,57787,36,19,NM_031417.2,0.110647799,NA
cg05819268,786,36,17,NM_000727.2,0.927831478,NA
cg05820087,84239,36,3,NM_032279.2,0.572561784,NA
cg05821464,NA,NA,NA,NA,NA,NA
cg05822100,1004,36,5,NM_004932.2,0.069291548,NA
cg05822532,2006,36,7,NM_000501.1,0.25337323,NA
cg05823029,496,36,13,NM_000705.2,0.729243726,NA
cg05824215,1235,36,6,NM_004367.3,0.739048449,NA
cg05824432,1632,36,16,NM_001919.2,0.027478211,NA
cg05824484,23765,36,22,NM_014339.3,0.042877621,NA
cg05824762,10444,36,9,NM_006336.2,0.045405731,NA
cg05825950,1378,36,1,NM_000573.2,0.123269151,NA
cg05826823,25792,36,9,NM_012127.2,0.673399695,NA
cg05828624,5967,36,2,NM_002909.3,0.816092056,NA
cg05829479,135398,36,6,NM_153344.1,0.179569847,NA
cg05830416,84904,36,9,NM_032818.1,0.059328792,NA
cg05832051,91663,36,19,NM_138373.3,0.072328148,NA
cg05832487,80178,36,16,NM_025108.1,0.05017734,NA
cg05835416,1562,36,10,NM_000772.1,0.576152114,NA
cg05836145,221833,36,7,NM_182700.2,0.368497919,NA
cg05837075,30001,36,14,NM_014584.1,0.033617821,NA
cg05839235,4883,36,5,NM_000908.2,0.080632841,NA
cg05840031,5080,36,11,NM_000280.2,0.105809869,NA
cg05840553,90678,36,9,NM_138361.3,0.057872605,NA
cg05843340,202243,36,5,NM_176816.2,0.046965754,NA
cg05843800,285362,36,3,NM_182760.2,0.040574968,NA
cg05844583,80704,36,2,NM_025243.2,0.041809164,NA
cg05845178,84818,36,3,NM_032732.2,0.05478583,NA
cg05845357,25776,36,22,NM_015373.3,0.036917832,NA
cg05845503,9380,36,9,NM_012203.1,0.032476632,NA
cg05846716,5126,36,20,NM_002594.2,0.072205018,NA
cg05847038,8756,36,8,NM_003817.1,0.63964575,NA
cg05847778,129880,36,2,NM_152384.2,0.036408697,NA
cg05851042,10079,36,20,NM_006045.1,0.86343171,NA
cg05851163,92126,36,18,NM_032160.2,0.049964596,NA
cg05852416,4792,36,14,NM_020529.1,0.03420333,NA
cg05855071,79768,36,15,NM_024713.1,0.082582431,NA
cg05856884,23676,36,X,NM_014332.1,0.717502721,NA
cg05856931,124540,36,17,NM_138962.2,0.086798227,NA
cg05857825,22919,36,20,NM_012325.1,0.077938824,NA
cg05859264,5603,36,6,NM_002754.3,0.555393363,NA
cg05859842,143162,36,10,NM_001017929.1,0.629028514,NA
cg05860890,27012,36,8,NM_014379.2,0.077036366,NA
cg05861567,23209,36,22,NM_015166.2,0.359004132,NA
cg05861661,283742,36,15,NM_173611.1,0.068967643,NA
cg05862431,84811,36,11,NM_032725.2,0.062683055,NA
cg05863612,23268,36,10,NM_015221.1,0.810957028,NA
cg05868316,84261,36,19,NM_032301.1,0.023824692,NA
cg05868799,10499,36,8,NM_006540.2,0.156666714,NA
cg05869585,5373,36,16,NM_000303.1,0.875616823,NA
cg05869964,9315,36,5,NM_004772.1,0.858855789,NA
cg05871136,219699,36,10,NM_170744.2,0.076841055,NA
cg05871607,6118,36,1,NM_002946.3,0.076284513,NA
cg05872485,10728,36,12,NM_006601.4,0.050002527,NA
cg05873268,7177,36,16,NM_003294.3,0.772492972,NA
cg05874450,64208,36,6,NM_022361.3,0.09412374,NA
cg05874478,5721,36,14,NM_002818.2,0.272041973,NA
cg05876083,84309,36,16,NM_032349.2,0.042029022,NA
cg05876094,27101,36,1,NM_014412.2,0.070245084,NA
cg05876918,79837,36,12,NM_024779.3,0.062701764,NA
cg05877109,599,36,14,NM_004050.2,0.175749032,NA
cg05879334,39,36,6,NM_005891.1,0.029051198,NA
cg05879919,122416,36,14,NM_152326.2,0.0414107,NA
cg05881135,23336,36,15,NM_145728.1,0.102168216,NA
cg05881762,7337,36,15,NM_130838.1,0.116872596,NA
cg05882522,30845,36,2,NM_014600.1,0.045336902,NA
cg05882691,8357,36,6,NM_003536.2,0.148419347,NA
cg05885123,401262,36,6,NM_206922.1,0.066997692,NA
cg05885720,2012,36,12,NM_001423.1,0.724227054,NA
cg05886367,153579,36,5,NM_152547.2,0.238642067,NA
cg05886626,7057,36,15,NM_003246.2,0.172399301,NA
cg05887405,29948,36,16,NM_013370.2,0.844527277,NA
cg05889321,5832,36,10,NM_002860.3,0.134051107,NA
cg05890019,23001,36,4,NM_178583.1,0.073601645,NA
cg05890484,635,36,5,NM_001713.1,0.311367459,NA
cg05890578,5581,36,2,NM_005400.2,0.056218779,NA
cg05894797,5664,36,1,NM_000447.1,0.104561886,NA
cg05895453,84078,36,13,NM_032138.3,0.351016672,NA
cg05896682,2587,36,18,NT_025004.13,0.175814313,NA
cg05897048,11145,36,11,NM_007069.1,0.21493233,NA
cg05898102,56126,36,5,NM_018930.3,0.080279651,NA
cg05898356,9824,36,15,NM_199357.1,0.045433588,NA
cg05898524,4000,36,1,NM_005572.2,0.291215062,NA
cg05899618,151449,36,2,NM_182828.2,0.071173567,NA
cg05902852,9863,36,7,NM_012301.3,0.051766473,NA
cg05903609,10594,36,17,NM_006445.2,0.118361278,NA
cg05903630,23107,36,5,NM_015084.1,0.057441602,NA
cg05905876,23478,36,15,NM_014300.2,0.036574026,NA
cg05906362,393,36,X,NM_001666.2,0.211445153,NA
cg05908775,10520,36,19,NM_006385.2,0.035420499,NA
cg05909475,2117,36,1,NM_005240.1,0.053209836,NA
cg05910970,1548,36,19,NM_000762.4,0.841786645,NA
cg05911610,11222,36,3,NM_007208.2,0.033155184,NA
cg05912121,7054,36,11,NM_199292.1,0.789095702,NA
cg05913271,NA,NA,NA,NA,NA,NA
cg05915281,3659,36,5,NM_002198.1,0.03299453,NA
cg05916196,29949,36,1,NM_013371.2,0.823926012,NA
cg05916783,8139,36,16,NM_022041.2,0.043901792,NA
cg05917963,1147,36,10,NM_001278.3,0.206741629,NA
cg05919661,55716,36,12,NM_018113.1,0.041598567,NA
cg05920090,3303,36,6,NM_005345.4,0.048343536,NA
cg05920720,55796,36,X,NM_018388.2,0.689909216,NA
cg05921207,91851,36,X,NM_145234.2,0.220360813,NA
cg05921324,337,36,11,NM_000482.3,0.706329573,NA
cg05921581,374454,36,12,NM_175078.1,0.885857637,NA
cg05921699,973,36,19,NM_001783.2,0.73978976,NA
cg05922057,23140,36,17,NM_015113.3,0.051732253,NA
cg05922591,11006,36,19,NM_006847.2,0.880075378,NA
cg05922972,10099,36,15,NM_005724.4,0.029750713,NA
cg05923056,1112,36,14,NM_005197.2,0.052919966,NA
cg05923103,26994,36,1,NM_014372.3,0.041152609,NA
cg05924191,54989,36,15,NM_014106.2,0.574703962,NA
cg05924583,7161,36,1,NM_005427.1,0.175036035,NA
cg05927017,596,36,18,NT_025028.13,0.077388683,NA
cg05927159,9948,36,4,NM_017491.3,0.036786994,NA
cg05932408,5740,36,20,NM_000961.3,0.079717155,NA
cg05932936,10955,36,20,NM_006811.2,0.077306148,NA
cg05934874,9525,36,18,NM_004869.2,0.058975217,NA
cg05935584,3149,36,X,NM_005342.2,0.306856338,NA
cg05936800,8995,36,1,NM_005092.2,0.697818573,NA
cg05937182,7982,36,7,NM_021908.2,0.033045729,NA
cg05937237,84310,36,7,NM_032350.3,0.860992892,NA
cg05937453,6425,36,10,NT_030059.12,0.045736908,NA
cg05938285,80235,36,3,NM_025163.2,0.044191493,NA
cg05938725,81788,36,1,NM_030952.1,0.039477155,NA
cg05940463,199990,36,1,NM_182533.1,0.053025568,NA
cg05940536,91,36,12,NM_020327.2,0.0662982,NA
cg05941634,26505,36,2,NM_199078.1,0.080658447,NA
cg05942574,8913,36,17,NM_018896.3,0.121806433,NA
cg05942970,282973,36,10,NM_194303.1,0.893285981,NA
cg05944800,51141,36,2,NM_016133.2,0.064896729,NA
cg05945622,10897,36,11,NM_020470.1,0.028903086,NA
cg05946081,494115,36,1,NM_019610.3,0.038940087,NA
cg05947740,9796,36,8,NM_014759.2,0.392388103,NA
cg05948654,10246,36,6,NM_005835.1,0.719793521,NA
cg05949173,84639,36,2,NM_032556.4,0.654853243,NA
cg05949660,64780,36,6,NM_022765.2,0.457857871,NA
cg05950276,84899,36,13,NM_032813.1,0.814988208,NA
cg05951646,6259,36,3,NM_002958.2,0.095775308,NA
cg05951993,2997,36,19,NM_002103.3,0.037433241,NA
cg05953243,159963,36,11,NM_178498.2,0.696601092,NA
cg05953394,51422,36,7,NM_016203.2,0.061678709,NA
cg05955224,163126,36,19,NM_153232.3,0.095757128,NA
cg05955301,5549,36,1,NM_002725.3,0.522365321,NA
cg05957518,5684,36,14,NM_002788.2,0.050988515,NA
cg05958352,6035,36,14,NM_198232.1,0.727101549,NA
cg05958582,9033,36,10,NM_016112.2,0.563451503,NA
cg05958659,345757,36,5,NM_198507.1,0.078034346,NA
cg05959392,119032,36,10,NM_144591.1,0.047660727,NA
cg05959508,80342,36,1,NM_025228.1,0.512766694,NA
cg05960024,9575,36,4,NM_004898.2,0.818997533,NA
cg05960806,1207,36,11,NM_001293.1,0.04615545,NA
cg05961212,141,36,3,NM_001125.2,0.182580694,NA
cg05961595,27301,36,X,NM_014481.2,0.188501224,NA
cg05961827,54577,36,2,NM_019077.2,0.873131127,NA
cg05964373,374618,36,15,NM_198524.1,0.053918677,NA
cg05965188,23076,36,21,NM_015056.1,0.774813859,NA
cg05965402,55300,36,4,NM_018323.2,0.070194935,NA
cg05968233,84266,36,19,NM_032306.2,0.235594306,NA
cg05969697,23299,36,9,NM_001003800.1,0.035585218,NA
cg05970437,83855,36,19,NM_031918.1,0.062316051,NA
cg05970790,4772,36,18,NM_006162.3,0.041777632,NA
cg05973262,4855,36,6,NM_004557.3,0.627678736,NA
cg05976074,56301,36,19,NM_019849.1,0.307748701,NA
cg05976325,284912,36,22,NM_203375.1,0.899871333,NA
cg05978187,2079,36,14,NM_004450.1,0.027906118,NA
cg05982504,3483,36,16,NM_004970.1,0.739482671,NA
cg05983247,79811,36,15,NM_017968.2,0.021059621,NA
cg05985767,290,36,15,NM_001150.1,0.78117832,NA
cg05986149,83990,36,17,NM_032043.1,0.114833224,NA
cg05988645,79091,36,16,NM_024109.1,0.195233489,NA
cg05989054,2593,36,19,NM_000156.4,0.428861051,NA
cg05989429,10347,36,19,NM_019112.2,0.037526771,NA
cg05990214,56848,36,19,NM_020126.3,0.055290612,NA
cg05992340,5144,36,5,NM_006203.3,0.745200197,NA
cg05995267,112476,36,16,NM_145239.1,0.111510991,NA
cg05996042,860,36,6,NM_001015051.1,0.651256305,NA
cg05996238,203569,36,X,NM_207339.1,0.846878741,NA
cg05997860,8747,36,14,NM_003813.2,0.635917091,NA
cg05998244,164832,36,2,NM_198461.1,0.76166003,NA
cg05998426,9610,36,11,NM_004292.2,0.047862473,NA
cg05998983,170392,36,10,NM_152635.1,0.696322742,NA
cg06000781,683,36,4,NM_004334.1,0.856919663,NA
cg06001166,6123,36,16,NM_005061.2,0.89323571,NA
cg06003187,2980,36,1,NM_033553.2,0.80268171,NA
cg06005396,610,36,19,NM_001194.2,0.070758812,NA
cg06005644,7322,36,5,NM_181838.1,0.029846258,NA
cg06006444,7323,36,4,NM_003340.4,0.049277353,NA
cg06007645,374977,36,1,NM_198547.1,0.807783064,NA
cg06011292,4628,36,17,NM_005964.1,0.040617676,NA
cg06015218,2911,36,6,NM_000838.2,0.100169682,NA
cg06018072,54982,36,15,NM_017882.1,0.06573022,NA
cg06020352,3394,36,16,NM_002163.2,0.477789804,NA
cg06021171,50859,36,4,NM_016950.1,0.528569101,NA
cg06022562,79755,36,17,NM_024702.1,0.808183013,NA
cg06023257,9846,36,11,NM_012296.2,0.048656197,NA
cg06025017,84227,36,1,NM_032267.1,0.75852923,NA
cg06026375,NA,NA,NA,NA,NA,NA
cg06026755,55142,36,15,NM_018097.1,0.843904077,NA
cg06027949,64089,36,8,NM_022133.2,0.077248393,NA
cg06029655,90198,36,19,NM_178121.2,0.875436594,NA
cg06030619,11151,36,16,NM_007074.2,0.039873074,NA
cg06034822,7391,36,1,NM_007122.3,0.108795899,NA
cg06037693,864,36,1,NM_004350.1,0.849059361,NA
cg06038049,54973,36,1,NM_032179.1,0.016510821,NA
cg06038133,84940,36,17,NM_032854.1,0.271575686,NA
